age,income,loan_amount,credit_score,employment_years,debt_ratio,num_of_past_defaults,loan_purpose,default
31,90550.77,1000.0,671,17,0.321,0,房贷,0
37,47152.34,1962.89,649,12,0.116,0,教育,0
28,73109.22,9939.8,653,22,0.192,1,房贷,0
55,71945.96,21767.66,721,0,0.377,0,教育,0
55,62858.59,1000.0,610,18,0.508,0,房贷,0
53,53916.63,14502.34,630,12,0.259,0,房贷,0
25,91725.54,13866.95,580,13,0.23,0,消费,0
62,51853.49,26211.69,739,16,0.305,0,创业,0
59,25135.14,16853.77,679,21,0.565,0,创业,0
61,79091.74,17343.1,705,19,0.1,0,车贷,0
48,38571.33,17944.05,717,0,0.237,0,消费,0
27,80221.39,4144.03,799,4,0.638,0,消费,0
29,94367.87,7131.01,787,19,0.354,1,消费,0
28,78854.5,21493.38,683,13,0.089,0,消费,0
32,88571.05,1000.0,671,17,0.546,0,创业,0
54,109441.08,6200.36,623,12,0.353,1,房贷,1
53,86268.73,1000.0,712,22,0.387,0,消费,0
68,72272.61,13991.07,709,11,0.401,0,消费,0
43,100946.86,8416.33,609,14,0.469,0,车贷,1
44,103605.06,17320.75,710,23,0.413,0,车贷,0
57,103912.98,11073.54,731,3,0.441,0,房贷,0
55,54172.84,1000.0,581,8,0.379,0,创业,0
64,35211.6,1000.0,673,2,0.141,0,消费,0
60,52829.77,11948.59,655,21,0.563,0,消费,0
42,80480.12,5445.35,660,10,0.205,0,教育,0
47,68501.5,7472.61,593,14,0.128,0,房贷,0
55,60457.42,19976.53,532,15,0.267,0,消费,0
21,77330.59,18451.78,607,6,0.049,0,房贷,1
55,32642.29,27280.74,597,6,0.357,0,教育,1
57,68105.72,9311.15,685,21,0.359,0,消费,0
67,89606.07,6550.25,686,8,0.533,0,消费,0
34,77084.94,15554.61,682,16,0.28,0,消费,0
23,80219.82,7233.25,562,12,0.35,0,房贷,1
21,100142.2,7511.48,582,8,0.291,0,车贷,1
25,63544.85,10282.14,617,8,0.172,0,消费,0
46,50631.98,26048.37,662,19,0.339,0,房贷,0
34,91169.33,17983.71,637,11,0.465,0,车贷,1
59,90764.65,18874.97,682,20,0.183,0,车贷,0
47,77282.42,25666.76,728,18,0.11,0,教育,0
29,61471.84,19671.53,590,22,0.183,0,车贷,0
35,65030.35,2383.05,593,14,0.169,0,教育,0
35,36911.0,19542.75,669,17,0.193,0,教育,0
46,89484.82,20621.17,654,7,0.195,0,房贷,0
62,88708.33,17540.85,712,24,0.349,0,房贷,0
33,36142.98,10338.74,661,5,0.159,0,消费,0
52,84087.91,16643.82,782,24,0.291,0,教育,0
59,73890.24,11827.96,549,5,0.425,0,车贷,1
69,42516.57,3686.25,719,2,0.042,0,教育,0
52,38468.0,5798.11,674,2,0.231,0,房贷,0
24,73216.85,17981.64,562,1,0.604,0,房贷,1
50,56250.51,4300.53,515,4,0.191,0,教育,1
57,105038.87,5101.79,581,19,0.341,0,车贷,1
43,85957.16,18403.77,745,11,0.042,1,教育,0
59,75421.25,13137.21,737,5,0.804,0,房贷,0
65,76507.74,16906.14,651,15,0.272,0,房贷,0
35,94279.08,1553.35,635,4,0.347,0,车贷,0
63,83623.4,16670.15,600,5,0.169,1,车贷,1
49,75994.86,6389.76,647,3,0.269,0,创业,0
56,43434.25,3356.49,627,13,0.526,0,房贷,0
33,132362.83,7704.57,780,2,0.176,0,创业,0
52,40729.98,23577.55,573,16,0.322,0,创业,1
27,58124.06,8902.14,687,4,0.383,1,教育,0
42,28595.98,30711.82,783,21,0.262,0,消费,0
48,76853.56,1000.0,714,20,0.337,0,创业,0
22,68324.43,1000.0,581,20,0.398,0,车贷,0
62,81836.08,23255.57,552,5,0.143,0,车贷,1
65,26740.56,25392.64,679,19,0.256,0,房贷,1
26,89483.92,4660.61,671,3,0.38,0,教育,0
48,47236.42,12585.6,746,12,0.514,1,房贷,0
48,61721.89,18053.61,698,7,0.489,0,创业,0
64,85494.57,10050.31,626,10,0.068,0,教育,0
64,70747.87,13273.87,621,23,0.398,0,创业,1
40,72302.74,12092.93,569,18,0.548,0,房贷,1
50,82581.93,1000.0,669,22,0.284,0,消费,0
31,74433.39,9070.38,562,4,0.389,0,消费,1
48,57495.63,12105.1,724,4,0.307,0,车贷,0
45,61337.68,12876.54,701,2,0.335,0,创业,0
59,69661.33,1000.0,699,1,0.387,0,教育,0
53,45297.77,18406.4,567,2,0.458,0,房贷,1
21,86912.19,13100.7,650,14,0.395,0,创业,0
47,71350.39,3029.22,633,6,0.3,0,教育,0
33,66645.08,27292.05,667,2,0.405,0,房贷,0
61,91234.92,9054.03,697,14,0.178,0,车贷,0
23,62357.5,9606.0,624,10,0.355,0,消费,1
59,60986.74,17454.53,627,15,0.266,1,教育,1
26,54338.17,28014.01,708,12,0.492,0,消费,0
28,72547.47,17788.84,581,1,0.144,0,消费,1
47,71785.9,19021.93,608,19,0.213,0,房贷,0
29,50341.75,3486.21,660,11,0.698,0,车贷,0
57,61090.73,12739.16,723,20,0.318,0,消费,0
53,50488.75,7475.78,592,6,0.57,0,消费,1
62,49492.89,17985.1,785,0,0.318,0,房贷,0
64,26942.25,18774.21,565,13,0.605,0,车贷,1
44,59919.97,25882.45,769,23,0.508,0,创业,0
35,27551.31,1000.0,744,9,0.502,0,消费,0
52,54818.05,6640.09,560,2,0.419,0,消费,1
52,51520.72,23052.12,546,10,0.368,1,房贷,1
44,88141.69,1000.0,710,21,0.332,0,消费,0
61,42671.43,18848.03,634,19,0.385,0,房贷,1
69,48253.9,21639.0,590,20,0.569,0,消费,1
69,56606.47,11759.11,787,14,0.458,0,消费,0
32,52236.84,1000.0,576,5,0.379,0,教育,1
59,95123.61,10967.08,609,17,0.491,0,房贷,0
22,39951.52,24398.79,617,12,0.299,0,消费,1
23,56653.1,25081.65,464,14,0.221,0,消费,1
69,72305.44,13766.98,666,2,0.178,0,消费,0
57,84386.03,3693.48,596,14,0.45,0,消费,1
69,56634.69,26776.38,717,23,0.367,0,房贷,0
37,22801.81,18977.84,726,23,0.332,0,消费,0
69,61697.71,4252.17,676,0,0.114,0,消费,0
22,94744.63,14911.41,677,9,0.303,0,车贷,0
22,71208.12,14522.36,671,23,0.388,0,消费,0
48,70201.19,6587.24,611,17,0.188,0,消费,0
43,41613.6,14958.91,617,7,0.506,1,消费,1
57,39355.23,21402.59,753,11,0.125,0,房贷,0
52,65396.92,9481.88,711,4,0.131,0,车贷,0
53,33619.66,22270.29,674,0,0.319,0,创业,0
21,82189.97,1000.0,702,7,0.127,0,教育,0
39,46373.78,30855.27,656,4,0.21,1,房贷,1
22,64457.54,12487.49,673,16,0.177,0,创业,0
64,23513.13,21120.68,702,14,0.315,0,房贷,0
46,56336.36,13858.2,515,3,0.076,0,车贷,1
52,38911.07,5000.06,723,12,0.235,0,车贷,0
26,13916.96,11690.8,718,16,0.5,0,创业,0
52,76920.53,1000.0,605,12,0.569,1,车贷,1
24,101105.51,17851.29,747,24,0.148,0,消费,0
31,89848.42,13647.0,505,1,0.121,0,消费,1
37,79997.2,10371.76,685,23,0.321,0,房贷,0
58,55889.33,18397.95,663,3,0.217,0,车贷,0
44,82729.59,12318.95,638,24,0.059,0,车贷,0
25,91924.77,17158.05,661,1,0.238,0,创业,0
54,68010.08,20179.69,701,11,0.436,0,消费,0
26,38944.08,7331.56,534,18,0.12,0,消费,1
42,54013.55,4899.01,730,17,0.336,0,车贷,0
31,102459.32,1000.0,631,9,0.466,0,车贷,0
68,63355.63,13041.77,731,4,0.385,0,教育,0
36,10000.0,15842.83,705,10,0.452,0,消费,1
53,32683.68,1000.0,630,0,0.488,0,消费,0
29,55662.13,24073.23,654,2,0.218,0,消费,0
26,87788.16,5010.15,659,16,0.474,0,消费,0
36,58991.31,1000.0,772,14,0.332,0,房贷,0
49,88197.5,24705.99,580,13,0.127,0,消费,1
23,53424.43,1000.0,629,23,0.431,0,消费,0
40,21785.56,20195.52,549,14,0.568,0,教育,1
56,54185.65,18129.52,669,15,0.229,1,消费,0
39,72588.79,14716.21,616,3,0.407,0,创业,1
46,70762.91,7556.41,625,18,0.563,0,教育,0
23,37387.63,16273.78,764,23,0.406,0,房贷,0
39,57273.68,20912.12,602,24,0.309,0,教育,1
40,124062.83,3620.61,649,7,0.174,0,创业,0
52,37868.09,20299.18,628,5,0.431,0,消费,1
27,79535.91,19912.43,632,15,0.165,0,房贷,0
61,18873.13,14490.93,850,2,0.117,0,消费,0
53,84003.42,7427.21,539,7,0.488,0,车贷,1
60,45368.84,19951.39,705,4,0.255,0,车贷,0
59,73845.94,16320.66,830,4,0.149,0,教育,0
38,36586.44,3364.34,736,11,0.307,1,教育,0
60,71398.76,8877.48,663,24,0.062,0,房贷,0
21,45009.69,18961.97,578,0,0.252,1,消费,1
31,49268.94,12973.94,751,6,0.231,0,消费,0
48,74723.69,21230.85,726,23,0.358,0,教育,0
45,55531.52,9096.0,553,10,0.579,0,房贷,1
43,73368.39,3500.89,638,9,0.309,0,房贷,0
51,60801.49,30645.62,576,2,0.366,0,房贷,1
50,66484.86,1000.0,460,7,0.371,0,房贷,1
62,74791.9,7751.36,574,0,0.27,1,消费,1
55,57299.59,14377.86,667,7,0.178,0,教育,0
27,43086.9,20381.71,701,22,0.243,0,房贷,0
36,53289.13,17494.82,637,19,0.207,1,车贷,0
46,91293.06,31645.7,756,10,0.158,0,创业,0
68,67555.81,11000.41,732,6,0.261,0,教育,0
69,46412.23,4579.64,651,15,0.55,0,教育,1
22,73834.33,10132.58,642,6,0.359,0,教育,0
21,75302.94,9280.2,687,12,0.307,0,房贷,0
68,76439.98,11419.49,659,9,0.285,0,创业,0
32,43487.58,3648.85,560,16,0.29,0,房贷,0
25,49987.4,18664.48,639,2,0.128,1,消费,1
57,50109.76,15152.06,707,6,0.214,0,房贷,0
52,57065.75,1257.01,752,10,0.588,0,教育,0
29,76856.22,20228.21,727,12,0.336,0,创业,0
61,71516.07,5102.41,683,4,0.554,0,消费,0
55,73254.77,1946.07,762,24,0.633,0,车贷,0
39,94788.42,12742.29,690,22,0.2,0,教育,0
68,80155.6,1000.0,654,18,0.434,1,房贷,0
36,61880.36,17010.78,764,14,0.191,1,创业,0
23,38954.53,1000.0,710,0,0.313,0,消费,0
40,49279.97,3250.42,751,4,0.532,0,车贷,0
44,59242.49,25388.67,577,12,0.573,0,车贷,1
53,83240.86,6163.4,600,9,0.358,0,房贷,0
44,64398.7,7651.53,603,4,0.443,0,消费,1
31,50563.69,22826.15,673,22,0.117,0,教育,0
69,48876.36,5260.66,788,0,0.69,1,车贷,0
28,63469.28,18489.22,580,9,0.479,0,创业,1
56,84579.73,21980.6,723,17,0.126,1,房贷,0
58,100002.42,16067.51,576,21,0.356,0,车贷,0
60,60473.09,1000.0,808,7,0.212,0,车贷,0
40,64015.65,6866.12,548,19,0.518,0,车贷,1
55,38293.28,35065.77,712,2,0.347,0,消费,1
68,107662.24,7830.55,722,18,0.015,0,消费,0
45,34177.94,37383.8,703,18,0.221,0,房贷,0
55,90776.57,26526.19,599,1,0.285,0,房贷,1
45,56962.61,16412.09,586,16,0.415,0,房贷,1
49,51813.94,14526.49,749,15,0.37,0,房贷,0
38,40579.92,8049.0,733,20,0.182,0,房贷,0
66,118021.07,11244.24,732,9,0.161,0,房贷,0
38,69872.82,6145.84,741,20,0.394,0,车贷,0
22,65468.17,11459.18,552,15,0.454,1,消费,1
55,84508.11,1000.0,550,4,0.303,0,房贷,1
36,50681.68,1000.0,613,19,0.726,0,消费,1
61,65040.61,23058.63,626,2,0.489,0,房贷,1
56,66239.4,1000.0,619,2,0.609,0,消费,0
53,53732.79,19532.17,679,1,0.553,0,消费,0
24,91392.04,1000.0,738,20,0.126,0,消费,0
53,60189.6,17351.92,639,3,0.597,0,房贷,1
34,30831.09,10235.53,603,21,0.659,0,车贷,1
41,58367.06,23231.19,717,17,0.288,0,消费,0
68,70481.93,9178.05,640,1,0.41,0,教育,0
40,45343.15,1000.0,668,23,0.564,0,车贷,0
28,47078.91,10401.69,637,5,0.397,0,创业,1
27,52982.3,13357.11,684,2,0.368,0,消费,0
23,91867.18,10878.19,589,20,0.145,0,消费,0
37,54282.52,16888.42,711,2,0.161,0,房贷,0
53,96440.57,7202.7,658,1,0.215,0,车贷,0
68,51471.09,1261.07,606,2,0.378,1,教育,1
32,72150.31,3502.98,697,16,0.397,0,消费,0
42,55182.66,7615.98,606,13,0.36,0,房贷,0
42,81589.83,7543.04,610,6,0.026,0,教育,0
66,40397.97,32452.04,576,21,0.36,0,消费,1
50,81342.91,22668.4,541,20,0.254,0,车贷,1
58,67505.13,17837.03,697,5,0.318,0,消费,0
58,50920.18,15791.11,742,7,0.205,0,车贷,0
65,61343.13,14548.06,628,18,0.342,0,教育,0
28,98744.81,14592.5,604,18,0.217,0,房贷,0
47,68032.58,13387.93,533,11,0.215,0,消费,1
47,49539.98,12341.01,508,4,0.165,0,房贷,1
54,38496.75,1000.0,711,4,0.17,0,消费,0
41,76118.89,8862.42,522,13,0.186,0,教育,1
50,69308.6,9957.44,580,16,0.469,0,教育,1
53,80290.46,5633.73,680,15,0.373,0,创业,0
48,32831.06,7273.18,666,3,0.338,0,房贷,0
67,39210.27,14556.37,683,24,0.284,0,教育,0
53,90231.34,18524.52,660,7,0.61,0,车贷,1
25,72289.52,14543.51,635,2,0.345,0,创业,1
68,76734.82,18310.78,580,20,0.201,0,消费,0
39,43820.89,18460.92,616,4,0.288,0,消费,1
24,43418.28,9452.5,640,22,0.285,1,房贷,0
55,86807.69,16465.11,528,23,0.195,0,房贷,0
69,87844.31,1000.0,605,24,0.491,0,房贷,0
37,41056.97,8733.24,634,6,0.492,0,消费,1
64,36853.85,7734.26,612,17,0.112,0,车贷,0
48,62610.95,25016.28,636,23,0.294,0,车贷,0
50,47414.33,14865.24,707,7,0.638,0,消费,0
49,46956.11,1000.0,715,10,0.51,0,消费,0
66,37469.68,17053.96,766,13,0.671,0,房贷,0
26,54694.46,19733.16,554,17,0.511,0,创业,1
55,39596.72,11237.86,631,12,0.215,0,房贷,0
61,40901.18,17867.18,746,5,0.254,0,房贷,0
57,71564.62,1000.0,538,12,0.589,0,消费,1
44,63785.64,1000.0,578,0,0.309,0,教育,1
49,75667.33,1981.31,617,10,0.123,1,创业,1
69,28721.26,13266.84,803,6,0.388,0,教育,0
66,65217.37,25023.39,592,9,0.182,0,创业,1
51,110664.03,2425.36,736,1,0.454,0,房贷,0
55,56810.01,4743.74,658,15,0.35,0,消费,0
53,83144.48,12753.15,580,4,0.046,0,创业,0
41,82952.15,7815.29,850,15,0.299,0,车贷,0
52,84034.37,7331.88,674,22,0.062,0,房贷,0
43,68666.56,8417.46,686,15,0.432,1,房贷,0
53,77453.89,23175.7,697,14,0.333,0,消费,0
23,80378.3,21487.14,692,8,0.242,0,教育,0
38,78979.81,12199.49,811,0,0.294,0,教育,0
45,40416.8,26063.08,785,8,0.374,1,消费,0
62,27437.54,16326.74,595,10,0.464,1,消费,1
51,30821.16,21808.1,801,4,0.305,0,教育,0
23,59056.48,4685.35,611,5,0.146,0,消费,0
60,78066.39,6443.75,683,7,0.378,0,教育,0
66,40702.95,6352.75,558,14,0.242,0,消费,1
44,85327.35,11262.86,733,15,0.22,0,房贷,0
52,53949.95,12509.26,638,17,0.325,0,房贷,0
67,54159.39,14755.51,580,11,0.557,0,消费,1
42,46605.65,28771.39,743,22,0.226,0,车贷,0
43,23534.7,18130.86,761,3,0.38,0,车贷,0
22,70044.91,7624.27,763,24,0.554,0,消费,0
47,102678.69,11972.17,553,21,0.423,0,消费,1
62,63621.38,24792.01,770,15,0.47,0,房贷,0
22,24286.1,18645.98,639,22,0.048,0,消费,0
46,82167.54,24680.15,804,10,0.693,0,消费,0
37,29254.44,7897.19,704,21,0.466,0,消费,0
60,38401.24,5950.88,678,23,0.159,0,教育,0
53,59756.56,6075.12,661,21,0.498,0,车贷,0
29,67702.56,8583.11,659,6,0.529,1,车贷,0
63,42809.39,2962.09,612,23,0.485,1,房贷,1
68,58899.05,14509.14,585,14,0.123,0,房贷,0
59,80733.57,14655.29,635,16,0.686,0,房贷,1
49,83747.94,23379.61,743,14,0.094,0,创业,0
62,92532.04,1000.0,562,9,0.427,0,创业,1
46,107007.21,3974.92,754,3,0.201,0,教育,0
55,82817.57,18847.43,670,21,0.131,1,房贷,0
45,60231.8,13559.52,715,16,0.095,0,房贷,0
44,83904.9,12380.82,718,3,0.295,0,车贷,0
33,75267.76,22742.76,725,21,0.222,0,创业,0
27,76140.07,3415.39,662,22,0.096,1,教育,0
56,68898.81,5805.8,664,21,0.31,0,消费,0
65,44934.81,4804.65,723,10,0.467,0,教育,0
40,42381.88,1000.0,587,3,0.253,0,消费,1
21,62863.4,13128.95,576,11,0.5,0,消费,1
28,68276.02,7555.75,627,22,0.206,1,房贷,1
66,50052.3,5770.34,680,9,0.489,1,教育,0
36,74313.52,4235.89,794,13,0.475,0,消费,0
34,110776.85,11849.15,663,17,0.564,0,教育,0
32,26624.72,5212.41,800,5,0.174,0,教育,0
43,77809.38,13883.32,696,4,0.113,1,教育,0
35,63548.56,15903.03,628,1,0.131,0,车贷,1
48,74914.42,9496.09,740,24,0.213,0,教育,0
54,55524.28,8919.03,643,12,0.037,0,房贷,0
22,61786.68,13576.67,678,22,0.154,0,创业,0
52,67849.01,11754.78,566,13,0.284,0,房贷,0
43,58364.05,23306.35,554,2,0.12,0,教育,1
42,31548.09,14705.26,699,22,0.585,0,房贷,0
45,59853.87,21312.48,737,10,0.551,0,房贷,0
42,33838.46,17189.34,796,21,0.453,0,消费,0
42,79370.25,1000.0,603,22,0.33,0,创业,0
69,23958.01,7254.75,762,3,0.181,0,消费,0
62,87630.4,11591.17,752,12,0.674,1,车贷,0
26,74450.39,19381.78,626,7,0.149,0,教育,0
35,74534.55,28386.41,757,7,0.23,0,房贷,0
63,17385.18,7884.75,726,22,0.177,0,教育,0
57,57770.81,12469.68,740,12,0.521,0,房贷,0
53,90378.4,18799.25,812,22,0.277,0,消费,0
28,53590.62,11508.47,737,9,0.173,0,房贷,0
64,41282.63,25974.82,510,12,0.683,0,房贷,1
64,50993.26,1000.0,683,12,0.364,0,消费,0
25,63497.89,17763.17,550,23,0.126,0,创业,1
59,46269.85,17679.81,671,16,0.346,0,房贷,0
24,92143.98,21792.33,667,5,0.203,0,车贷,0
26,63577.31,12527.44,619,1,0.506,0,消费,1
65,52777.47,19577.93,588,16,0.455,0,教育,1
52,36370.44,9882.32,623,11,0.394,0,创业,0
50,75657.83,5188.17,636,22,0.366,0,车贷,0
67,75156.66,3948.77,651,5,0.166,0,房贷,1
55,47571.4,1000.0,667,4,0.237,0,房贷,0
60,15800.76,8248.45,701,4,0.201,1,教育,0
36,74036.77,14647.65,638,24,0.229,0,消费,0
33,60890.33,10230.88,750,8,0.468,0,消费,0
62,72393.57,13682.71,657,21,0.363,0,创业,0
50,108057.84,22496.47,725,2,0.163,0,房贷,0
39,64409.7,7601.36,639,22,0.341,0,消费,0
37,53695.55,31892.52,850,19,0.159,0,消费,0
39,39758.92,18419.57,693,4,0.462,0,消费,0
48,58126.72,10326.13,774,6,0.54,0,车贷,0
46,68532.7,10133.38,611,11,0.156,0,消费,0
57,66172.76,3430.9,629,6,0.291,0,教育,0
46,102916.24,11781.41,642,9,0.476,0,消费,0
43,75979.88,1000.0,833,7,0.377,0,车贷,0
29,62034.38,22674.01,645,16,0.312,0,消费,0
32,49455.67,1000.0,602,4,0.442,0,消费,0
21,70866.8,12354.88,751,14,0.065,0,房贷,0
21,45045.82,2276.09,664,8,0.178,0,教育,0
67,68956.28,6039.98,645,22,0.366,0,车贷,0
54,75723.11,7136.71,617,10,0.103,0,消费,0
52,60238.05,28367.82,694,12,0.262,0,消费,0
68,51133.7,2622.37,734,17,0.306,0,教育,0
45,16923.47,19771.21,715,16,0.448,0,消费,1
60,90164.41,21863.42,626,23,0.025,1,车贷,0
65,73872.61,1000.0,591,8,0.14,0,房贷,0
21,74407.58,6769.5,379,9,0.381,1,房贷,1
36,30650.25,24617.9,594,4,0.276,0,房贷,1
59,95356.45,1000.0,634,10,0.573,0,消费,1
25,54765.23,22185.35,656,21,0.214,0,创业,0
42,58646.5,11848.13,641,14,0.636,0,车贷,1
49,41475.69,11480.67,850,1,0.194,0,创业,0
23,25687.19,12590.68,694,20,0.314,0,消费,0
32,90461.62,14911.86,573,19,0.73,0,房贷,1
46,93305.14,3877.08,706,23,0.244,0,房贷,0
36,61358.38,9786.43,687,23,0.309,1,消费,0
57,50053.54,15150.09,587,13,0.368,1,消费,1
42,56705.03,13503.53,680,4,0.432,0,房贷,0
49,57308.47,14968.42,697,23,0.501,0,车贷,0
34,38603.09,5891.16,732,5,0.337,0,创业,0
48,58570.39,17374.54,536,21,0.453,1,房贷,1
25,68368.24,13075.04,705,14,0.31,0,消费,0
67,87399.46,1000.0,759,3,0.322,0,房贷,0
69,65313.37,7483.34,792,9,0.493,0,教育,0
50,30320.26,4388.21,574,18,0.429,0,教育,0
66,72778.05,4278.79,650,8,0.279,0,教育,0
25,59369.53,7949.92,657,20,0.525,1,车贷,1
32,95149.01,17214.51,707,9,0.266,0,车贷,0
36,96448.07,6672.27,648,3,0.161,0,消费,0
46,97217.99,13912.99,610,21,0.558,0,车贷,0
46,52645.07,12519.88,675,3,0.462,1,消费,1
68,108776.81,5378.05,636,5,0.169,0,消费,0
41,72720.74,9069.07,699,7,0.503,0,消费,0
59,100780.37,19351.22,603,15,0.417,0,房贷,0
56,53942.37,13273.35,588,7,0.109,0,消费,0
53,58430.87,16665.04,752,15,0.264,0,消费,0
50,71028.6,22816.22,819,5,0.381,1,车贷,0
57,68341.31,15696.96,788,16,0.483,0,车贷,0
43,92605.86,1000.0,655,0,0.455,0,车贷,0
30,59893.15,14300.08,734,18,0.455,1,教育,0
25,90621.53,6746.05,612,17,0.165,0,消费,0
56,81109.16,27387.57,696,16,0.372,0,消费,0
54,60305.37,15393.79,619,16,0.183,0,消费,0
51,79402.89,6921.77,748,11,0.595,0,教育,0
